"","Z_score","log_fc","conv","d","p_val"
"Rom1",4.29615448348472,-1.11989422515587,TRUE,9.86010858977475e-07,1.73786496266981e-05
"Apbb2",4.29505050744191,0.774938469853619,TRUE,-2.62637134262889e-13,1.74653569147143e-05
"Slc3a2",4.29449714566251,-0.61873902893584,TRUE,-0.00966958562544047,1.75089733938094e-05
"Mkl1",4.28682627158889,0.822763992509784,TRUE,2.3319368176733e-07,1.81243925001517e-05
"Cep170",4.26420823651162,0.766853857880983,TRUE,-1.20459198171829e-14,2.00612289193991e-05
"Eif3f",4.21141761151848,-0.50221862643456,TRUE,-1.61892770114379e-05,2.53773109011313e-05
"Npnt",4.20487740121434,-0.499122320308257,TRUE,3.87086196429465e-14,2.61223715238845e-05
"Samd4",4.18966400438843,0.889715072264943,TRUE,-9.90745992190956e-11,2.79367807183295e-05
"Il33",4.17431064679882,0.685275718314451,TRUE,3.60684061022007e-06,2.98889692409432e-05
"Med13l",4.17084065493668,0.636997379196046,TRUE,-1.64577032557567e-12,3.03478020557968e-05
"Gsta4",4.13606377350253,-1.13662891296405,TRUE,-1.75493361080116e-07,3.53314038294972e-05
"Gm26561",4.12319245332261,0.561561521431067,TRUE,-8.57531823328372e-11,3.73657249441717e-05
"Ncam1",4.11934361980192,0.687801566424254,TRUE,-4.07867489782276e-12,3.79953182583215e-05
"Ncor2",4.0559137590532,0.828506799134997,TRUE,-3.72114722242342e-05,4.99386843269001e-05
"Egln3",4.04386172534361,-0.809321162341855,TRUE,2.41928144970385e-07,5.25779354005884e-05
"Aff4",4.02427325982522,0.679722324404498,TRUE,-2.87181775069506e-06,5.71515266816203e-05
"Mtf2",4.02424620732411,0.854665086163991,TRUE,-1.91068825691754e-09,5.7158096000709e-05
"Gatad1",4.01936362774149,0.684989494410563,TRUE,-6.75193101196819e-06,5.83555471860286e-05
"Ppm1g",4.01177655267273,0.598727706974236,TRUE,-0.000288544035016741,6.02635265904983e-05
"Lamb1",4.00092581638263,0.551635015843449,TRUE,-6.22450839212266e-06,6.30951375475419e-05
"Rrbp1",3.98970824739402,0.432599592974309,TRUE,-0.000323979635120673,6.61546160907189e-05
