"","Z_score","log_fc","conv","p_val"
"Timp2",4.45662666110438,0.469834626411784,TRUE,0.000116563182626095
"Rpl4",4.45347745296532,0.118020437526247,TRUE,0.000118286818029389
"Ppp3ca",4.43038838265441,0.231898925544555,TRUE,0.000131688934055241
"Aldh2",4.4152720073031,0.569039985328669,TRUE,0.000141236279208368
"Myl6",4.40503482056127,0.543894542526985,TRUE,0.00014807364198921
"Laptm4a",4.39974128283533,0.406017485239986,TRUE,0.000151732017568573
"Npm1",4.37918257244043,0.206077697982408,TRUE,0.000166775421827747
"Ccnd2",4.37739449137269,0.159186796160604,TRUE,0.000168149058128453
"Nudt4",4.34103645925551,0.500446717956148,TRUE,0.000198537062558568
"Nars",4.33328257501722,0.358237663251051,TRUE,0.000205663300413939
"Atpif1",4.32426714156467,0.58022424200007,TRUE,0.000214255659906293
"Fkbp4",4.31121013227743,0.295157969675126,TRUE,0.000227308923812508
"Atp5j2",4.27258812747707,0.278515712909223,TRUE,0.000270504011395278
"Cyb5r3",4.2500931666235,0.445118915603829,TRUE,0.000299154264382206
"Dap",4.24939010785884,0.422718314488902,TRUE,0.00030009466887515
"Hes6",4.24572041310996,1.27881257133753,TRUE,0.000305049070786989
"Luc7l2",4.21985994175219,0.520769240128023,TRUE,0.000342235795467438
"Nfat5",4.21361212509329,0.685523181757474,TRUE,0.00035184622799056
"Strn3",4.21250788283685,0.758119072720195,TRUE,0.000353571257515561
"Ybx3",4.19750349858653,0.321786511790205,TRUE,0.000377822885474277
"Ifitm3",4.18917278535666,0.160668821014927,TRUE,0.000391962436381732
"Emp1",4.18446060036191,0.145935562421455,TRUE,0.000400181622936646
"Aldh3a1",4.1684429757693,0.664269778399591,TRUE,0.000429362450616644
"Slc12a2",4.15646975483369,0.46000713196856,TRUE,0.000452484110690765
"Rpl32",4.14573600917789,0.212292421602286,TRUE,0.000474213467292373
"Msln",4.14117582068778,0.292293019123996,TRUE,0.000483741952582495
"D8Ertd738e",4.12853870506617,0.447186117279037,TRUE,0.000511106389262217
"Rbm25",4.11914172436494,0.37021596817201,TRUE,0.000532400691227064
"Gsto1",4.11866291296948,0.09940085832713,TRUE,0.000533507958151436
"Cyp51",4.11330287997135,0.969830038455268,TRUE,0.000546053343145836
"Dbi",4.08986673472993,0.269984578396961,TRUE,0.000604269555013026
"Anapc5",4.074467967028,0.549314126595701,TRUE,0.000645675246974342
"Slmap",4.04306466388703,0.666708078693699,TRUE,0.000738598883047725
"Mybbp1a",4.01679421106545,0.780966005563232,TRUE,0.000825932778669713
"Serbp1",4.00934090103691,0.189250675869355,TRUE,0.00085243845327021
"Slc23a2",4.00447906391618,1.72167447802591,TRUE,0.00087016013160568
"Prrc2c",4.00260725954872,0.356705990107724,TRUE,0.000877075507990988
"Far1",3.99407268673749,0.655805305602726,TRUE,0.000909271139391432
"Cct8",3.98371762459276,0.440146045302275,TRUE,0.000949836766710899
"Rad23b",3.94969107469363,0.537096814144482,TRUE,0.00109552971966931
"Eif3g",3.94262587151245,0.297943483044652,TRUE,0.00112832058534762
"Txn2",3.93923648980904,0.265212697239525,TRUE,0.00114437857370087
"Tuba1b",3.93555813952432,0.0968355813403389,TRUE,0.00116204992901725
"Amotl1",3.91773362034347,0.23611712137788,TRUE,0.00125139563458854
"Calm2",3.88318406720227,0.349383843653213,TRUE,0.00144336447396221
"Pfdn5",3.86510781642236,0.316722648737642,TRUE,0.00155456193493464
"Ywhae",3.85499891400192,0.083916009709536,TRUE,0.0016202220006063
"Sec61b",3.85448352217152,0.426210671734506,TRUE,0.00162363871248106
"Myo10",3.84090365764266,0.194062064773122,TRUE,0.00171615109418699
"Lrch1",3.82538559691764,1.165533939174,TRUE,0.0018279458138668
"Eef1a1",3.81144412331991,0.127062915917096,TRUE,0.00193420203103223
"Ndrg1",3.80765492744452,0.851133236450365,TRUE,0.00196407187394509
"Slc25a11",3.80512097971971,1.01202699750499,TRUE,0.00198428856777166
"Gpi1",3.799448086543,0.180034979963556,TRUE,0.00203026158827235
"mt-Nd5",3.78533711364119,0.442228329396135,TRUE,0.00214900490702163
"Apip",3.78343997858091,0.315106364600997,TRUE,0.00216545892670572
