"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","mean 4","sd 1","sd 2","sd 3","sd 4"
"Nell2",0,-0.566891523546697,0.102329620973864,-5.53985755201311,0.747245481513771,0.000731873214618354,2.36934877598025e-06,3.0271777973212e-08,-0.4575814217412,-0.522899865379248,-0.557845547387456,-0.756353384593119,0.202988917718552,0.199821839163964,0.199339274126992,0.218119959967711
"Zeb2",0,-0.557979978096967,0.108036283947982,-5.16474611775455,0.960927617160019,0.000695539375290695,1.5805089365194e-05,2.40765489101236e-07,-0.499786901134622,-0.570372309714501,-0.372061317448447,-0.833417678976536,0.202964733755379,0.203509639599343,0.224567691069857,0.239546154458918
"Jph4",0,-0.552350584201611,0.103961253758614,-5.31304273690373,0.863338874091701,0.000335928519899693,7.39249666315e-06,1.07809741134446e-07,-0.515746579049052,-0.587528755428562,-0.461763351261333,-0.665624515576784,0.194377603561675,0.2004209091415,0.211217294702176,0.230957632783032
"Pnkd",0,0.547218003386487,0.142056979539787,3.85210219983049,0.817735326164145,0.000100194056823982,0.00309500043510824,0.000117108124571663,0.627534362556849,0.795325354977841,0.382475304371702,0.306840688836632,0.272963806643943,0.269267564931945,0.294812558570198,0.303802806045086
"Map4",0,-0.545649916216527,0.0749597012924756,-7.27924347093548,1,0.000446761646721103,8.54016857232409e-11,3.35731442646647e-13,-0.482930064739239,-0.551115441556731,-0.625403167414902,-0.530467117525472,0.143458017245467,0.146754957046083,0.15304457181322,0.157615869144826
"Neurod6",0.0481583839048918,-0.544010541794731,0.0823327929499637,-6.6074588545216,0.692633183756409,0.000637340127720357,5.68305291714921e-09,3.90971699459897e-11,-0.417514133146253,-0.484229435964834,-0.555637133770741,-0.799324434426482,0.14358833667381,0.149237135548566,0.16547541580467,0.177416948457693
"Arhgap12",0,-0.52785764381438,0.136975894069991,-3.85365357458195,1,0.000129307715702651,0.00309500043510824,0.000116368214938545,-0.618216603595191,-0.721335364945129,-0.410958797580897,-0.309622078240138,0.262212790622469,0.268948157821414,0.264239356846561,0.307048415147808
"Wipf3",0.144515568285259,-0.525644931333132,0.109855995123371,-4.78485430624718,0.817157963467363,0.000424018597588812,8.49296859695148e-05,1.71111406621627e-06,-0.442944130194106,-0.588670450608257,-0.303018546048032,-0.819218743253604,0.157670986161144,0.15848910939991,0.160206928545536,0.188022602186412
"Crym",0.247891643983417,-0.517445645186718,0.143354501158589,-3.60955282885943,1,0.000579438751268211,0.00664027653265418,0.000306725304211053,-0.464959572322721,-0.771780868045068,-0.139324111969126,-0.708103264288351,0.136818999934754,0.152966767175361,0.140927185202315,0.145514366818716
"Phyhip",0.0779182899785268,-0.514716785146542,0.127200294908138,-4.04650622483432,0.8961301625912,0.000382765315965194,0.00153326169192224,5.19877428710736e-05,-0.367853853394786,-0.887448432260567,-0.323012009985754,-0.491851287954912,0.223258083676346,0.238509028277575,0.239949929653069,0.273971864475737
"Eps15",0,-0.512728932850057,0.115439808674205,-4.4415261835463,0.60642493683617,0.000156504470768669,0.000324593675495846,8.93230753207241e-06,-0.466068183672328,-0.530798884419056,-0.551571290439656,-0.500211308323018,0.225923574597552,0.222202520323976,0.227914797318451,0.250448667199203
"Kcnb1",0,0.505686654493354,0.131999102221649,3.83098555961556,1,0.000153945643807079,0.00332985997969194,0.000127630996764605,0.493761701134269,0.670838400784596,0.599562978406361,0.222631524118189,0.268924818408504,0.23953629160138,0.283651310772405,0.270089530022669
"Cck",0.11620341627162,-0.503589261455229,0.0989206352416972,-5.09084136211607,1,0.00100767730737665,2.19828210915966e-05,3.56478179863728e-07,-0.272769331290702,-0.754046023842866,-0.54807649639065,-0.478773200095522,0.148392607950426,0.16496227809612,0.174695997587827,0.154452543409547
"Camkv",0.0467590352740385,-0.49871241732099,0.0751081685390631,-6.63992248807949,1,0.000579617589859942,4.91294312924358e-09,3.13848946831286e-11,-0.660161401983488,-0.561383730912759,-0.30754898522548,-0.462639736786481,0.13872933197032,0.144622346538767,0.140249763977032,0.147887028103995
"Fkbp2",0,0.497387017469202,0.124109863527973,4.00763487550767,0.572235147051568,0.000220081314985656,0.00175783409380405,6.13298381622052e-05,0.493659174391409,0.611404196693048,0.324906442880161,0.548882293446703,0.22854379053255,0.262824972403017,0.264934273976729,0.242162273170683
"Pgm2l1",0,0.494718374485026,0.0851426927953039,5.81046192272078,0.753053636058346,0.00106806824902546,6.33909646663433e-07,6.23007023747846e-09,0.47299825418592,0.579559178605375,0.389334290786111,0.512587166926047,0.170666856021561,0.160255473119665,0.182182765372563,0.170139233795598
"Fkbp1a",0.170528393627598,-0.491770742071039,0.103899723606335,-4.73312849160508,0.939117243369246,0.00066135803786554,0.000104629966098352,2.21085432050572e-06,-0.379132281411855,-0.68626914331475,-0.265024587587421,-0.659022909782359,0.107961484690264,0.121579061547535,0.116379599861356,0.129374277586482
"Cadps2",0,0.489669430891191,0.129013362393885,3.79549390702803,0.857837245867499,0.000137715569065927,0.00370193668833905,0.000147349814130449,0.460615245026386,0.830581054419354,0.278779880558991,0.309237703314723,0.254393544195674,0.2424949963094,0.289046889692334,0.252754760082398
"Gaa",0,-0.479361598727183,0.133280753574092,-3.59663031512425,0.775302240059116,0.000376307698865188,0.00690542162491838,0.000322366120082185,-0.114986254939612,-0.559861469152604,-0.681824333641533,-0.652888758410308,0.247471018318604,0.261184064927256,0.276554057058319,0.285928202701738
"Bhlhe40",0,0.479158877774519,0.128284293630466,3.73513283827854,1,0.000120701202654225,0.00449175078648629,0.000187616126216872,0.737734166241216,0.489685727147882,0.155947459058439,0.438265876365184,0.235900663732186,0.245115552901431,0.274295451094705,0.278855477354712
"Camk2a",0.191688549896844,-0.477379956835662,0.128944576748837,-3.70221042925691,0.587753862000962,0.00107862078429279,0.00494248852157694,0.000213729233365489,-0.309748015029663,-0.850676329781499,-0.461386842669979,-0.298036137760368,0.161438241751107,0.177165157926522,0.169977742995487,0.182039542129448
"Pea15a",0,-0.475352266153711,0.110577564170256,-4.29881296192972,0.772538587711708,0.00036935464875289,0.000582401069082139,1.71715302923481e-05,-0.297705490628316,-0.446667005597138,-0.753612122590339,-0.483864015485015,0.203764438748597,0.203388521699044,0.239909284386589,0.248831862539001
"Rbbp7",0,-0.467149358824582,0.108374257761708,-4.31051956869449,0.507457555908531,0.00012908388477455,0.000561768353232899,1.62871414450816e-05,-0.508279340872451,-0.372314967129084,-0.742941218199246,-0.247352739120625,0.207111997465738,0.206790390836116,0.225929991251943,0.230300327433654
"Sec14l1",0,0.45356096897599,0.126289853733824,3.59142841302153,1,0.000177388420353761,0.00697136978292147,0.000328870515557966,0.302557226127266,0.664670977939758,0.556360837843726,0.260601438423061,0.233107307713817,0.238524937570382,0.264604448870227,0.283554495125881
"Snhg11",0.0785025688912973,0.450337561426811,0.0947028720908197,4.755268256225,0.714876146084884,0.00152214686095408,9.60244220302032e-05,1.98183082322778e-06,0.356023106898042,0.272570670711398,0.708217053017386,0.499363719294976,0.171393104847042,0.172834155362824,0.191843624582892,0.157362103192026
"Scn3b",0,-0.449492107950842,0.121874381944499,-3.68815907641312,0.844276454149287,0.00018826043842527,0.0051648396359223,0.000225882421423629,-0.413607855670201,-0.412114324281405,-0.545882515192109,-0.436465683104383,0.242006529971401,0.232484291840207,0.252378401984968,0.249619667652606
"Map1b",0.0775303672095271,0.444902784856261,0.0722565148481252,6.1572688053305,0.759066758008095,0.00460331916320829,8.67337210694627e-08,7.4010175765693e-10,0.469343107957363,0.611112344731135,0.410352195345764,0.261288866935961,0.118189911582221,0.114983008003157,0.129201894786448,0.126471690686044
"Trim2",0,-0.443487107829019,0.0772882597811618,-5.73809151719462,1,0.00138370440835334,8.85681719631215e-07,9.57493750952665e-09,-0.279062413806527,-0.472491458964219,-0.447648018247977,-0.598567178737774,0.150115320972262,0.160165858898941,0.148232738699171,0.161084273644422
"Ppp3r1",0.0878096643620625,-0.434746606857562,0.0700740606905225,-6.20410181133347,0.856815329361148,0.00100565488228296,6.9966065302518e-08,5.5010174193626e-10,-0.314878115867308,-0.489043660448091,-0.342900862269174,-0.618536861011407,0.100257341149216,0.10461011196349,0.113458846699568,0.120137906183046
"Arl6ip1",0.0691028009819161,0.430625753038994,0.0839486780958743,5.12963113662367,0.881780710454684,0.00080857716328523,1.84619317267209e-05,2.90310474326816e-07,0.212287461739185,0.407795552679493,0.506985032810167,0.606813184297593,0.146385426072376,0.157213532954874,0.162663841861273,0.147215876578088
"Cacna1e",0,-0.425957646407246,0.112322719285491,-3.79226615164639,1,0.000519087291844882,0.00370466287662612,0.000149278798959873,-0.364434303287455,-0.589658231142812,-0.255816383489975,-0.480828101305962,0.214854939805696,0.210869847560902,0.229415257219231,0.249142760283069
"Ndrg4",0,0.423506854073982,0.0604043818211283,7.01119424296214,0.622305391749271,0.00104246005449181,4.80870232522079e-10,2.36299868561218e-12,0.370623888391807,0.527164831221773,0.430019162797184,0.355757042571492,0.117670074003609,0.115619603313921,0.126073239348646,0.124875017148794
"Hpcal4",0,-0.421736577596795,0.103606271957059,-4.07056995325136,0.870631775563348,0.000478221283209982,0.00142444701055933,4.68982553845088e-05,-0.22319329363433,-0.5531197492133,-0.547327951282643,-0.416188334982573,0.186351940879138,0.208095291869027,0.212204058040427,0.229031635455064
"Ncdn",0,-0.413404537215636,0.0483842117493977,-8.5442032073775,0.606105448519687,0.00128169329237037,0,0,-0.38788695259076,-0.46110012552671,-0.392319456051573,-0.410678395656878,0.0932322101881032,0.0940225987931487,0.0978589566450395,0.102828460249139
"Uqcrc1",0,0.405742139124053,0.103292589437016,3.92808565779505,0.598293950717767,0.000191607465210031,0.00235467968994318,8.5624715997934e-05,0.526674519633833,0.394658352141175,0.518608060414788,0.188663008702917,0.202233722691663,0.201711005059291,0.216819680809905,0.206609101357555
"Itpka",0,-0.400120644700451,0.0801220835153314,-4.99388716749842,1,0.000440516492505413,3.16902936753934e-05,5.91759783619139e-07,-0.526363969460642,-0.329146420255726,-0.267274298527183,-0.517258754786379,0.161366298299285,0.148271104619215,0.157792819969809,0.177553855690094
