"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Slfnl1",0.0637675945197115,0.370490450994819,0,0.542690552237734,-7.06032010872139,-7.60301066095912,-7.13321440078557,-6.70186290675136
"Smco2",0.129258502827019,0.728846078035643,0,1.6281427246148,-9.10588039193962,-8.70993290293367,-7.9814819233906,-7.47773766732482
"Smim23",0.0938204482592503,0.530545619463765,0,0.826854742815379,-8.789774990349,-9.20930870382723,-8.42293960733349,-7.96292024753362
"Snrpd2",0.138091476569458,0.725249947580863,0,1.44073800506941,-9.30194849489783,-9.47339320026557,-8.9936161898634,-7.86121048982841
"Sord",0.0372094860633805,0.416674142635989,0,0.729014698830507,-6.29132771514643,-6.10017507554092,-6.21427642344819,-7.02034241397694
"Sox30",0.142574954696768,0.790433041079008,0,1.6058359590241,-9.50441342941495,-9.30446153806714,-8.22659472897675,-7.89857747039085
"Spa17",0.0436385234119494,0.298462135304953,0,0.564842288110759,-5.32030601677178,-5.20663063687387,-5.88514830488254,-5.5351988625939
"Spag4",0.0933854268128297,0.65897162711309,0,1.38660475468879,-8.65381925326026,-8.48516135180896,-7.67656909568508,-7.26721449857147
"Spanxn4",0.162076940737858,0.810384029380744,0,1.7726759176537,-9.81369304899279,-9.30847533085808,-8.41968602041664,-8.04101713133909
"Spata19",0.0705270603498256,0.680186248440119,0,1.40171234376129,-8.09809415057516,-8.11101445117103,-7.33871782465989,-6.69638180681387
"Spata20",0.0479915870714858,0.253657659073909,0,0.427889274123373,-6.47525383579628,-6.90314310991966,-6.84373366430156,-6.40295041038437
"Spata21",0.0649045422118383,0.395428134451476,0,0.648098523988982,-6.77841206975306,-7.42651059374204,-6.89988787404256,-6.47909868838004
"Spata24",0.044826603133438,0.558185792207353,0,1.08209156650267,-7.05338068013237,-7.21958718045826,-6.6030223233926,-5.9712891136297
"Spata3",0.0403165606230559,0.316398758987765,0,0.619566017969096,-5.61225814822267,-5.69182087485784,-6.23182416619176,-6.15741054492031
"Spata32",0.0751157005317658,0.635858341731777,0,1.25182588174394,-6.96226980269269,-8.21409568443663,-8.01461987785091,-7.08930733887512
"Spata33",0.0490946501548842,0.390766186648826,0,0.490155985590688,-6.09851475587413,-6.58867074146482,-6.22290340168717,-5.64179152352594
"Spata4",0.0721291744538774,0.399532461281538,0,0.865788285665007,-7.83103127712843,-7.72238435601379,-7.29332506210831,-6.96524299146342
"Spata6",0.0329296873681559,0.388026909969432,0,0.742599368475899,-5.54465656124392,-6.28725592971982,-6.42691666031954,-6.03575852513464
"Spatc1",0.0494664139356149,0.253138946800746,0,0.443351875195364,-7.52130093206417,-7.47428243698189,-7.90059998846417,-7.96465280725953
"Spcs2",0.167032076897239,0.90271444823579,0,1.84912287244572,-9.63281147909557,-9.5186067876268,-8.34880079120773,-7.78368860664985
"Spem1",0.0349362145744106,0.39628443122224,0,0.602835763988908,-5.56260566897411,-5.48474574750622,-6.16544143296302,-6.24555755013627
"Sppl2c",0.0644953299836041,0.609066431308415,0,0.668621114312418,-8.11690190593809,-8.92480814412484,-8.00173056544036,-7.44828079162567
"Spz1",0.0336801600960469,0.423009631256583,0,0.558833570552653,-5.25166141766244,-5.14059981766319,-5.8104949882151,-6.01085322040191
"Sqrdl",0.148532744832441,0.801842481329356,0,1.77538477673024,-9.43998470755529,-9.19773450442903,-8.45094193710386,-7.66459993082504
"Srcin1",0.163045219774128,0.926196551438195,0,1.81282453332209,-10.0085447511316,-10.0196902807363,-8.70648299162636,-8.19572021780949
"Ssx2ip",0.0699518589764583,0.395994153046139,0,0.636123254720885,-8.0670802396321,-8.36530751924556,-7.81350050866691,-7.43095698491121
"Stk35",0.098943463495543,0.372167007996962,0,0.889198338504912,-8.1318836949023,-8.73990110016421,-8.29721267035967,-7.85070276165929
"Sufu",0.185707050298594,1.00536818049376,0,1.92707513061226,-10.0527724086555,-9.92936645997038,-8.39978480402542,-8.12569727804322
"Svip",0.094501379134429,0.447776654887384,0,0.949349943583024,-7.13340916160044,-8.08275910518346,-7.95665730062709,-7.41903873066593
"Tax1bp1",0.0630286786170625,0.4179957968663,0,0.623829104369559,-7.38012582094209,-7.23102238605762,-7.03785016538347,-8.00395492531165
"Tbata",0.111737729289528,0.589287979801674,0,1.22851786131676,-9.08198006387979,-9.01325683292829,-8.30557650512206,-7.85346220256302
"Tbc1d20",0.0509691849497113,0.391241708977079,0,0.578238307438308,-7.15121374908574,-6.78196651564994,-7.15693731622329,-7.72945205652405
"Tceb1",0.140194867346949,0.629881693104356,0,1.35219918205805,-9.27423675968248,-8.90770292150286,-8.16948088283924,-7.92203757762443
"Tcp11",0.0246075256454061,0.33759087669878,0,0.527781865331805,-5.55826056730327,-5.3900370665035,-5.35532543956068,-6.08604243263508
"Tctex1d1",0.128102312194655,0.585934984585371,0,1.21035708284789,-7.86228066368904,-9.07263774653693,-8.36505179096899,-7.8109775528162
"Tex13a",0.0764372458284616,0.418045151487872,0,0.744715274382092,-7.97082142787107,-8.14322599853364,-8.81853748137179,-8.71553670225316
"Tex33",0.0771779596985566,0.440999030798433,0,0.81266058594974,-7.30519382491196,-7.31286366372593,-6.49253323896223,-6.6064099410891
"Tex37",0.124043208021036,0.998717078437262,0,1.86949368501345,-9.37212557579948,-9.60530746339309,-8.15792586081612,-7.50263189078603
"Tfam",0.0688761882597907,0.848222130686304,0,1.58842447390246,-8.25677305387122,-8.58301403549469,-7.5533142925969,-6.66834857996875
"Theg",0.0568953656981669,0.341056242533161,0,0.643590627971501,-7.35180995317645,-7.25072643614011,-7.35891804235282,-7.99540058114795
"Tmco2",0.113992414718239,0.822488525712162,0,1.72348848454521,-9.02787294312367,-8.9491829592587,-8.00213980843357,-7.30438445857846
"Tmco5",0.0569020634213102,0.494429055684988,0,0.968500877171175,-7.69921958112826,-7.84151828506055,-7.36410754995735,-6.73071870395709
"Tmem132cos",0.206010561848038,1.03168264274331,0,2.04899837572333,-10.3970803146984,-10.1981911739243,-8.7243930787117,-8.3480819389751
"Tmem191c",0.0878795479682429,0.574446798197422,0,1.07565244253972,-8.62942055162654,-8.59524192563511,-7.69103335394419,-7.55376810908682
"Tmem205",0.145476203195174,0.841945085264221,0,1.51415493454634,-9.65084855456127,-9.71744274920096,-8.32928759181343,-8.13669362001492
"Tmem247",0.0472719903029969,0.398693275211799,0,0.516545524251821,-7.27917696580269,-7.73524851447458,-7.32502383105945,-6.76263144155087
"Tmem56",0.0515830550234874,0.274462445136417,0,0.43530781787213,-7.5837769603233,-7.36205189099595,-7.59677771428018,-8.01908477819543
"Tmigd3",0.192417206499788,1.04953593957914,0,2.12940562217517,-10.2390124407402,-9.87279867575996,-8.43270959915023,-8.10960681856499
"Tnp1",0.0349995929587461,1.00978257686596,0,1.09519872727097,-5.96221633347974,-6.09224954977448,-4.86701760620877,-3.94613975627419
"Tnp2",0.0319165650171115,0.893215311899647,0,0.870274888901625,-5.7556806497639,-5.98297069922401,-4.88540576086228,-4.02597718385103
"Tor1aip1",0.170275858271162,0.931740366395939,0,1.60873869130799,-9.41949456435041,-9.14295133372812,-7.81075587304241,-7.56650385864365
"Tpgs2",0.0549756743216523,0.353109339469135,0,0.704629663293616,-7.23784936511316,-6.98575048001629,-6.90614333813285,-7.69038014330991
"Tpi1",0.0822365583332108,0.557956544643497,0,1.16334828693087,-8.05186062585951,-7.62190623660915,-7.58507406191728,-8.78525452354002
"Trim17",0.0935934515120461,0.614966487947655,0,1.31161156058363,-8.74971634561128,-8.51881995825257,-7.78237513754462,-7.43810478502766
"Trim36",0.113554284443617,0.818155109086422,0,1.21425511675648,-8.39059190294367,-8.05869628316647,-7.17633678618719,-6.59957835862901
"Trim42",0.226821858813405,1.16469530798938,0,2.2953405673451,-10.6391503434769,-10.6079763874491,-8.96608687173684,-8.34380977613185
"Trim80",0.204734489098572,1.12052148426694,0,1.85779742159112,-9.9196533516019,-9.429101560517,-8.06185593001078,-7.53983098712962
"Trp53tg5",0.103125872816992,0.903600509568298,0,1.36843820674235,-8.69540285860394,-8.42040119139772,-7.3269646518616,-6.7805827121643
"Tsnaxip1",0.122958749788161,0.503382706219608,0,1.12987777830093,-8.79405733885625,-8.53370028668072,-8.0477468786064,-7.66417956055532
"Tspan6",0.0366515995970736,0.169680212130039,0,0.407442046881227,-6.90898496553464,-7.04552466883554,-7.11224319414047,-7.31642701241586
"Tssk1",0.0985685628378222,0.786737060331513,0,1.78983423218792,-8.64181414291542,-8.24783806352107,-7.57169281768448,-6.8519799107275
"Tssk2",0.0334235830508322,0.223572703729034,0,0.486087473426254,-6.74453709277571,-6.58790425326512,-6.34113797172435,-6.25844961934946
"Ttc24",0.0698094169678123,0.449335327542979,0,0.635653965830672,-7.35326317336173,-7.98891713919241,-8.40409199071056,-7.66916064304805
"Ttc39d",0.0609880312325781,0.362481152643014,0,0.645932820599304,-7.38232812697999,-7.18635793154953,-7.62200416559508,-8.0282609475793
"Ttc7",0.0736707850568003,0.260386528141188,0,0.615480325445383,-8.14118219048178,-7.97799938230368,-8.22830191794947,-8.59347970774906
"Ttll10",0.0552279428718564,0.423932315653904,0,0.684236851787845,-7.65959856747443,-7.9468984548125,-7.29360788753835,-6.97536171568659
"Tuba4a",0.145161689794531,0.655935515550233,0,1.49077266027071,-8.69825854747538,-9.49977841727464,-8.24926271973726,-8.00900575700393
"Tuba8",0.109242141864268,0.976032694999566,0,1.71012310691891,-8.78071274706356,-8.33708256053427,-7.07058964014465,-6.75496806661883
"Tulp2",0.0972086687960649,0.582856478437098,0,1.12575399779905,-7.99815423712997,-7.73663920443571,-6.87240023933091,-6.87749320672131
"Tulp4",0.0574733881104756,0.459234629891061,0,0.77997726539637,-7.29571211412723,-7.02603287836518,-7.23953943573627,-8.0756893795236
"Txndc2",0.0631944193081778,0.58924683946805,0,1.14744156716363,-6.51760011470814,-7.66504168187176,-7.01174448631336,-6.3538309795
"Ubc",0.0736938076424974,0.448484795236463,0,1.02239587288295,-8.07300803819052,-7.74629616195481,-7.34502716927952,-7.05061216530757
"Ube2g2",0.117329293471327,0.652609756635899,0,1.23938899551521,-9.23963247740185,-9.49377523816415,-8.8830531168689,-8.00024348188664
"Ube2j1",0.0475280750170171,0.321659399234196,0,0.60070584185694,-6.39674819322055,-6.99745403507749,-7.07009637094817,-6.59866169713532
"Ube2k",0.0384927858546322,0.343122229973087,0,0.477769085167391,-6.55979267775496,-6.31395118330495,-6.30558537783911,-7.03756176292235
"Ubl4b",0.0331306448680333,0.327583777466434,0,0.535213744402459,-6.36566271871701,-6.11704982402792,-6.49863581284907,-6.90087646311946
"Ubqlnl",0.0577515161717465,0.303340359722326,0,0.547434867778199,-7.3124216862561,-7.3643365580278,-7.8598565540343,-7.86510920667749
"Ubr7",0.0755014736495623,0.635622409134798,0,0.719630428307928,-8.2998977173245,-9.05217130773611,-7.89666248363904,-7.58026728901657
"Ubxn11",0.0679760813443295,0.411721390311724,0,0.617923949715877,-7.5882054411928,-7.25130704260107,-7.45227780481733,-8.20612939090867
"Ubxn6",0.0600979028324063,0.354767213340309,0,0.51835817293706,-6.29265496767477,-6.23785627946624,-6.81101314061183,-6.93367298675264
"Upf3a",0.106145013289644,0.510866044016603,0,0.940457907648253,-7.48087132596243,-8.32819568708256,-8.30488934417221,-7.3877377794343
"Usp12",0.0885562608203926,0.327443392130822,0,0.794466573032191,-7.67007828458421,-8.4645448576164,-8.03856914744661,-7.97195426263169
"Usp2",0.0734980833374613,0.416583274240881,0,0.78194135120289,-7.97770052550408,-8.02338453552187,-7.39013681897104,-7.19575917430119
"Usp46os1",0.280420417892208,1.16740048169386,0,2.42279134137797,-10.8894172349258,-10.4912004201067,-8.97428355534288,-8.46662589354784
"Usp50",0.090691620423835,0.439461110636178,0,1.04342197449371,-7.50850206589936,-8.24206413812249,-7.56733137576551,-7.19864216362878
"Vars",0.102885900848097,0.415946190890354,0,0.899782417578089,-7.92524665671014,-8.74117147019255,-8.35151103017533,-7.84138905261446
"Vasp",0.0515315899873028,0.324713474452132,0,0.589765682688408,-7.37119737340196,-7.40834620182674,-7.94186892525583,-7.96096305609037
"Vhl",0.195393556646639,1.02809784638198,0,1.84508433059553,-10.0234186731946,-9.9946692077276,-8.28154257808634,-8.17833434259906
"Vsig1",0.046463422827041,0.279781360455092,0,0.48498168773202,-7.09451213194799,-6.91842120009827,-7.17375301506184,-7.57949381968001
"Vwa3a",0.136492325268535,0.732889047638787,0,1.27754380007578,-9.46926137540128,-9.6034845625336,-8.3606268328293,-8.1917175753255
"Wasf2",0.104099851997663,0.574029608267495,0,0.881575304018597,-9.0603017362785,-9.5335679618389,-9.16349249824775,-8.1787264322599
"Wbp2nl",0.168460798287045,0.804215652766282,0,1.4515830361976,-10.0102743310937,-9.79433545165879,-8.55869129489611,-8.47911016728131
"Wbscr25",0.0253757715120043,0.301735074164075,0,0.490014703513412,-5.97604162773513,-5.81873242714312,-5.84153435802689,-6.46605633124855
"Wdr38",0.140646773008191,0.532816015791111,0,1.19685723286325,-9.05162778022207,-8.77124783330765,-8.96253242497745,-9.9681050661709
"Ybx2",0.0347998002249002,0.430547377572852,0,0.76825596607486,-5.40317372753607,-6.17142969361093,-6.41257272917272,-5.9737571083433
"Zdbf2",0.0833040951185787,0.397701270377129,0,0.724546736092544,-8.46874627872931,-8.6609313883811,-8.19423265537251,-7.74419954263676
"Zdhhc25",0.0979998071593135,0.413295036712516,0,0.84700517811538,-8.33317737097413,-8.46735577536737,-9.02157648703698,-9.18018254908951
