"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Pcbp2",0.0944204049849203,0.262347604823706,1.04512124288192e-07,0.532140181275335,-8.13016523453744,-8.08565197875201,-7.89520027025969,-7.55351179747668
"Plac8l1",0.107849550359275,0.268097590150487,1.21983950940319e-07,0.604945788922123,-8.11955458043293,-8.01695367803951,-8.16323541133911,-8.62189946696163
"Tmem190",0.0814293732316191,0.293765273274762,1.26380139686688e-07,0.456251434366158,-8.3852297147303,-8.1384482262581,-7.99156632709506,-7.68219679189195
"D11Wsu47e",0.077229460177878,0.241462281061791,1.29008547844478e-07,0.432443664942845,-7.91768959506596,-7.81972292347162,-7.56401442531273,-7.38727925852878
"Tdrd7",0.142660072608438,0.442440052116081,1.34364340986792e-07,0.797813469940115,-8.12496780262755,-8.31669564952265,-8.73914891150599,-9.11450911946277
"Nipbl",0.105166059798243,0.261564148575597,1.49167161289654e-07,0.58622092088758,-7.74162147588193,-7.63474999943272,-7.98295088181922,-8.2209709203203
"Capza3",0.0897066387444442,0.209674074852456,1.54118929618363e-07,0.499536088148084,-7.62095007659405,-7.33767927091912,-7.12141398844596,-7.26783193583411
"Spsb1",0.138099714291878,0.345543011948111,1.62266950543e-07,0.767774600516971,-9.05746588058091,-8.28969128006394,-8.37588668901254,-8.65077388455822
"Ip6k1",0.121177864978907,0.349978359909835,1.65572615618004e-07,0.673269777971013,-8.85453899382656,-8.77769560412255,-8.7680332026675,-8.10442582615154
"Adgb",0.134852846454297,0.348945114409088,1.79842896574911e-07,0.747299129623856,-8.27441255622187,-8.23883231429563,-8.38509730599176,-8.98613144391949
"Phospho2",0.0834291982318034,0.370346563756193,1.91857244757898e-07,0.461384902660805,-7.6161331411973,-7.84801157739296,-8.30939648005377,-8.3898219943816
"Cand1",0.19870541565223,0.456141106620622,2.39722160788602e-07,1.09110262643695,-8.34409895659691,-8.84659120222424,-9.43520158303386,-9.06749714740257
"Vhl",0.118560901808328,0.429972977150849,2.45613882565721e-07,0.650516045068748,-9.15967240189848,-8.99588162331348,-8.34536557824473,-8.33886867372825
"Adam1b",0.183658476456065,0.553918287560352,2.57697210237495e-07,1.00613140719402,-8.4545365243028,-8.80327211053421,-9.46066793149681,-9.63503715364707
"Enkur",0.073449176361541,0.206240017871013,2.68416523674375e-07,0.401844586901182,-7.02696333745506,-7.07505912447324,-7.27880697790394,-7.47690371137443
"Fam50b",0.0756811579212991,0.213338021914688,2.97042962227323e-07,0.412694762912348,-7.84358311529426,-7.79349355572188,-7.77289754783856,-7.38079879280953
"Traf3ip1",0.144089314374841,0.362797550151525,3.28721745823657e-07,0.783129866413191,-8.10758163081551,-8.47210794877918,-8.8907114972287,-8.83215240952219
