"","sd","sd_lfc","p_val","log_fc","X1","X2","X3","X4"
"Ccdc83",0.201522259965402,0.373921017589601,0.000113099284404505,0.862131555627276,-7.4813482030393,-7.9735318422302,-8.34347975866657,-7.68695438049098
"Hcfc2",0.129374433845779,0.29593903899367,0.000117541300997726,0.552365541914027,-7.86879959426314,-8.1315810916105,-8.52360128530178,-8.42116513617717
"Toporsl",0.217596206958148,0.387192374046751,0.000120759060011633,0.927717661480144,-7.61149373994962,-8.10916985563227,-8.53921140142976,-7.92888526396251
"Smpd5",0.105514811311567,0.210717738652723,0.00013034252349442,0.44805756435982,-7.84797214756346,-7.67591835525836,-7.43787326993266,-7.39991458320364
"Kbtbd11",0.187539593242199,0.398426215444824,0.00013072475192466,0.766597790815924,-8.75277340301685,-9.32442361325474,-19.8749773656956,-9.51937119383277
"Dvl1",0.182527094499184,0.34379658531312,0.000137108342367576,0.77300902973929,-9.00037906126188,-8.86773585687657,-8.56758490611518,-8.22737003152259
"Srrt",0.166860729235053,0.328814650547772,0.00013742577104825,0.706574677567736,-8.67644050611342,-8.06257827728615,-8.03807898315702,-7.96986582854568
"Pank2",0.232482115116207,0.433374061494032,0.000137968128463228,0.984243774109117,-8.7815458129098,-9.09485151254122,-8.93656273338256,-9.76578958701892
"Sord",0.118707611294816,0.257769836071856,0.000138569787099474,0.502448248376894,-6.86266710820545,-7.21281846515635,-7.22657686171595,-6.71037021677946
"Ift46",0.134691527178824,0.282686090411704,0.000138858832132716,0.570039530529114,-8.45577526630252,-8.44956265827159,-8.4478630843105,-7.8857357357734
"Drap1",0.13416007593661,0.262515420353617,0.000142148969548561,0.567083513043125,-7.69710039500473,-7.58984108673432,-7.1594323440212,-7.72651585706432
"Mbd3",0.218475664345165,0.40284365172989,0.000143367955448781,0.923058484631726,-8.60965421605976,-8.37303909316092,-7.68659573142803,-8.03298655597313
"Tcte1",0.189695293096605,0.347728566754522,0.000143939815305583,0.801291500566887,-7.57531644345282,-8.10797669367684,-8.37660794401971,-7.81965766018148
"Arl6ip6",0.187894666375679,0.410753568430587,0.000144853848604631,0.763562334996864,-8.16827154980668,-8.81251205199525,-16.8534372413599,-8.93183388480355
"Zscan21",0.109184929532492,0.375313277364881,0.000151431776337141,0.459958450369826,-7.88684355866756,-8.17905612059745,-8.78483563159906,-8.34680200903739
"Ppp3r2",0.112833098514831,0.202403894023053,0.000154641836982439,0.474792224133441,-6.98388993153966,-7.05379274065612,-7.34424301354039,-6.86945078940695
"Tomm20l",0.14595315779466,0.468966307234111,0.000167648591715697,0.611489177693841,-8.28629885561654,-8.77678778250132,-9.42828613926897,-8.89778803331038
"Cep57",0.138833574535261,0.515455242299366,0.000181423632968691,0.579168131658196,-7.58463363059097,-8.09670761071845,-8.84009342376384,-8.16380176224916
"Sod2",0.117058846334777,0.265494155131909,0.000181666172630379,0.488295479610347,-7.78539553486817,-7.83215839260152,-8.26100542022804,-8.27369101447852
