"","sig_p","mean_est","sd_est","Z_est","ct_prop","expr","q_val","p","mean 1","mean 2","mean 3","sd 1","sd 2","sd 3"
"Il20rb",0,0.683148199729959,0.147875526132471,4.61975160864671,1,6.95674940523408e-05,0.000206210465821176,3.8419971613024e-06,0.422178371526359,0.767374845539549,0.919339321442776,0.241654014932245,0.257736264021383,0.271637966378943
"Adcy1",0,0.681099402461551,0.0572587182420756,11.8951213609434,1,0.000399081258552058,0,0,0.625912282057837,0.683428178925928,0.740289262646614,0.101008371425207,0.0911548733517445,0.107427466203381
"Vat1l",0,-0.669811014536469,0.0920647139130271,-7.27543687551383,1,0.000245707107414192,5.99567454508039e-11,3.45279360658424e-13,-0.741496599774551,-0.678515898257378,-0.578645529427568,0.16608766873834,0.143465297871835,0.173697727933576
"Chl1",0,0.661110563931149,0.105002240972485,6.29615670873527,0.767173449651079,0.000335574588138996,3.60280893119125e-08,3.05115932519584e-10,0.730828564562522,0.745377521958098,0.446790422748618,0.179112595331585,0.167954320020442,0.203792503609971
"Rab3c",0.161715606384836,-0.64520807164296,0.11753773360747,-5.48936968444279,0.570146176534951,0.000348952232285381,3.60833326030662e-06,4.03370588042407e-08,-0.668307210693198,-0.82474194335201,-0.420036463167228,0.135549341388576,0.107656103440679,0.12856548942548
"Bcl2l15",0,0.64122164567416,0.131146509762252,4.88935349355919,1,8.38003432895722e-05,6.63660003304756e-05,1.01167683430603e-06,0.659581874030997,0.875660272623784,0.438939263458435,0.243063311144386,0.233261413725981,0.209259073595366
"Parva",0.150753986328564,0.631730690914773,0.155974566593711,4.05021603656916,0.565991981450672,3.68097365882281e-05,0.00184213332421734,5.11703701171484e-05,0.330455849004893,0.752871914049121,0.834613294104518,0.215181110144697,0.237017684007278,0.221326165326107
"Ncald",0.0470424644385368,0.623879721493933,0.0784026845631524,7.95737703332602,1,0.000349000903840752,3.74557527850681e-13,1.77635683940025e-15,0.46182263619914,0.693926560183118,0.700647779760723,0.132373289673102,0.123002336047728,0.127224938144456
"Cnnm1",0.0916043354621096,0.61380807661239,0.160283004075589,3.82952690556585,1,0.000127410142594918,0.00399779572319222,0.000128389846014043,0.385018944730563,0.950962003927201,0.637305578863846,0.224904514965871,0.291317770634347,0.283792310208669
"Rnf152",0,0.605555592394333,0.0877419954539548,6.90154799034764,1,0.000138489898727864,7.2308330751574e-10,5.14388531769328e-12,0.432724171336945,0.671895795271596,0.711021323959332,0.153451116866566,0.144240076608653,0.159394072784862
"Atxn1",0.201183864294318,-0.589411064149222,0.148721185627973,-3.96319503277521,1,0.000672438252945693,0.00250931254827691,7.39533169715756e-05,-0.808178882747362,-0.316259171812835,-0.704124740364405,0.165446931303959,0.131310327419046,0.188642656863231
"Lrba",0,-0.585629767436103,0.121847080741359,-4.80626834777603,0.69484551500831,0.000231550024491697,8.90077023536365e-05,1.53773469513396e-06,-0.694516310508235,-0.461632341203628,-0.670583840964612,0.229134960020864,0.18390853123791,0.230988514188561
"Ppp3ca",0,0.583953546953995,0.0346291643267203,16.8630562795132,1,0.00172604326100002,0,0,0.587674365609321,0.557331858930238,0.612094144589151,0.0627651012959165,0.0563147874950082,0.0614597600958516
"Clstn2",0.142908409771596,0.578537206909119,0.139125233485413,4.15839163331776,1,0.000461303064480765,0.00119760103018649,3.20496210652887e-05,0.380399278050328,0.845663789180856,0.490964044025135,0.180570607006867,0.182327327429921,0.223911437425957
"Nrip1",0.121065301485809,-0.560836936840691,0.124542574824173,-4.50317441752326,1,0.000136336514192632,0.000334956417485311,6.69458964486225e-06,-0.839182060838697,-0.454350036529026,-0.465538916082507,0.20824469979692,0.152276931499449,0.18273067137093
"Ntrk3",0.204245537806451,-0.555551426288191,0.132672163900145,-4.18740005406351,1,0.00130356306870727,0.00108176695812228,2.82168210621325e-05,-0.576080180568364,-0.323938990511414,-0.782984950254892,0.107896385377424,0.0951039081033432,0.112777993615811
"Cdc42bpg",0,0.554839426227662,0.155308895980943,3.57248966791795,1,2.05005993908656e-05,0.00975548925468911,0.00035360343843216,0.701242508455768,0.392693965407412,0.619848561296748,0.261124624146522,0.24168538938506,0.321539574786393
"Runx1t1",0,-0.538287578383953,0.106067242649243,-5.07496532330942,1,0.000274434528189532,2.86024205804036e-05,3.87566674531215e-07,-0.530107735256735,-0.488504635331082,-0.63032733425518,0.190326385769243,0.161843367137263,0.208048222578899
"Myh10",0,0.536128465032575,0.0835305529585226,6.41835168143555,0.516226742780714,0.000127478956451862,1.76809148191968e-08,1.37757805163119e-10,0.435238475003986,0.529067027832028,0.676478549490348,0.147748734847979,0.127527495119288,0.166612600975592
"Ano3",0,-0.522598774106612,0.109828340431479,-4.75832350788053,1,0.000253123536614013,0.000108726875781013,1.95207466680003e-06,-0.378765034383352,-0.492648157428537,-0.755217773631241,0.206510411120322,0.158455248760359,0.225722826264424
"Olfm1",0.0310612286027445,0.521114633638962,0.0494873408978193,10.5302613594647,1,0.000194480899669079,0,0,0.426363012195066,0.594123932996563,0.542725605949661,0.0814356882579327,0.0833709821742693,0.0754055179722303
"Grm4",0.143115072022846,-0.515851768524773,0.103176747675958,-4.99969014476871,1,0.000543189119468821,4.03598278786126e-05,5.74225193394895e-07,-0.726284409467104,-0.397160295268439,-0.439689611061776,0.113362908670759,0.0947695967302962,0.113383441533219
"Syt9",0.0262705930376598,-0.495873163652572,0.114442020763451,-4.33296406638545,1,0.000221061525896037,0.000648184867547799,1.47115129152109e-05,-0.262218551903385,-0.635601837437132,-0.572494986583169,0.198660829871746,0.181499556137247,0.212969159387314
"Fgd4",0.0436587327335615,-0.476994485887675,0.121164617662067,-3.93674733673516,1,0.00027236972949886,0.00267929643154867,8.25934875579026e-05,-0.619083116976602,-0.278046982706356,-0.694884290077837,0.204664628936733,0.172878965555178,0.265347696180258
"Syt2",0.0728413079931061,0.476204716056422,0.0860467479971381,5.53425582187325,0.582384728172856,0.000261605645310811,2.88329693021172e-06,3.12552512760078e-08,0.468654506472132,0.61893547460895,0.319760755936837,0.138415944432007,0.12075368576558,0.132180257841916
"Ttc9b",0,0.473992708729436,0.124811280482297,3.79767523334293,1,2.32552885207909e-05,0.00444502777689626,0.00014605951705926,0.632557629317511,0.490355908209236,0.343484145454495,0.235647963565441,0.215176763880719,0.201670275993411
"5730409E04Rik",0,0.473689235105746,0.112416137509431,4.21371206661503,0.827101550089861,1.42383880389211e-05,0.001000841336744,2.51207497605765e-05,0.529797294870734,0.619140968434484,0.290685033929605,0.203838557305733,0.194008751324415,0.187333363631738
"Ldlrad4",0,-0.466697886664169,0.0927084959248723,-5.03403579152405,0.643028173218286,0.000625910543035885,3.45787159066191e-05,4.80259943147487e-07,-0.572985930901058,-0.410088654122396,-0.42822700374825,0.163758052347264,0.140255466798771,0.188232063574075
"Inadl",0.114194060302603,-0.465899441185876,0.0829450040568315,-5.61696809209455,1,0.000706619945078792,1.87783842669146e-06,1.94337292924729e-08,-0.635278983210125,-0.36587916240423,-0.413228302385037,0.095177775207653,0.0821794934559845,0.0844347465068921
"Kcna1",0.178609581522704,0.458973527415392,0.12701145870078,3.61363873866425,0.540282349607343,0.000235254713184282,0.00860364731429881,0.000301929676193025,0.601539003409252,0.57548715266638,0.207776175976254,0.139902197884583,0.120485328624062,0.125204335248628
"Inpp5j",0,0.450913842217911,0.116001154313079,3.88714961405406,0.738500204762006,5.37343679820276e-05,0.00321952873867897,0.000101428242783586,0.607790302447692,0.272141225671819,0.539348326310635,0.226538800515948,0.183846686701364,0.199034950406781
"Gls",0,-0.446001964298758,0.0616720369763098,-7.23183449364713,1,0.000346546340127931,7.81472664357352e-11,4.76507722169117e-13,-0.422968063380229,-0.368197199603007,-0.564599067926504,0.109230458805007,0.1008487646341,0.111260368572162
"Syt1",0.0235293316610587,-0.431416545751229,0.0418297320772286,-10.3136339710406,1,0.00230294707128636,0,0,-0.34923555257382,-0.450322824976927,-0.491188733219656,0.0717712783991582,0.06205802711852,0.0731879690850583
"Ntn4",0.0517347380978614,-0.428643986466422,0.117883900922329,-3.63615373356914,1,0.000244750623271188,0.00808845698947773,0.000276739212715871,-0.671194538468453,-0.262205083121692,-0.40025510176405,0.202289632773785,0.174400784733931,0.224728729082689
"Bmp1",0,-0.412813814425214,0.0776314719350023,-5.31760900747633,1,9.96452995885141e-05,8.39807649843327e-06,1.05139696726653e-07,-0.494104842821905,-0.418944491660124,-0.346137933054313,0.148860914353471,0.128837440817416,0.128502988233098
"Ralyl",0,-0.411365863111545,0.0837028549025142,-4.91459775882971,1,0.000329211400857376,5.9687377106639e-05,8.89649252266977e-07,-0.489888322092804,-0.288967466496387,-0.494858149472849,0.161221490781752,0.132509721234887,0.145390720015239
"Vsnl1",0,0.401147124732769,0.042938246432043,9.34241982535668,1,0.000662576458234691,0,0,0.373334091976089,0.368593470025786,0.460671847984607,0.080244168085228,0.0701298352352804,0.0737686216767476
